video_path,label
archive/train\Alhamdulillah\Alhamdulillah 1 - Copy (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 1 - Copy - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 1 - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 1.mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 2 - Copy (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 2 - Copy - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 2 - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah 2.mp4,Alhamdulillah
archive/train\Alhamdulillah\Alhamdulillah3 - Copy (5).mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of Copy of الحمد لله 1 (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of Copy of الحمد لله 3 (1).mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of الحمد لله 1 (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of الحمد لله 2 (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of الحمد لله 3 (1).mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of الحمد لله.mp4,Alhamdulillah
archive/train\Alhamdulillah\Copy of انا بخير 2 (1).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 (1) - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 (1).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 (2) - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 - Copy (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 - Copy - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1 - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 1.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 (1) - Copy - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 (1) - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 (1).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 (2) - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 - Copy (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 - Copy - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2 - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 2.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 3 (1).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 3 - Copy (2).mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 3 - Copy - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 3 - Copy.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 3.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله 4.mp4,Alhamdulillah
archive/train\Alhamdulillah\الحمد لله.mp4,Alhamdulillah
archive/train\Good bye\Copy of good bye 1 (1).mp4,Good bye
archive/train\Good bye\Copy of good bye 1 (2).mp4,Good bye
archive/train\Good bye\Copy of good bye 1.mp4,Good bye
archive/train\Good bye\Copy of good bye 2 (1).mp4,Good bye
archive/train\Good bye\Copy of good bye 2 (2).mp4,Good bye
archive/train\Good bye\Copy of good bye 2.mp4,Good bye
archive/train\Good bye\Copy of مع السلامه (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (1) (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (1) (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (2) (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (2) (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (3).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1 (4).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 1.mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (1) (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (1) (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (2) (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (2) (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (3).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2 (4).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 2.mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 3 (1).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 3 (2).mp4,Good bye
archive/train\Good bye\Copy of مع السلامه 3.mp4,Good bye
archive/train\Good bye\Copy of مع السلامه.mp4,Good bye
archive/train\Good bye\good bye 1.mp4,Good bye
archive/train\Good bye\good bye 2.mp4,Good bye
archive/train\Good bye\مع السلامه 1 (1).mp4,Good bye
archive/train\Good bye\مع السلامه 1 (2).mp4,Good bye
archive/train\Good bye\مع السلامه 1.mp4,Good bye
archive/train\Good bye\مع السلامه 2 (1).mp4,Good bye
archive/train\Good bye\مع السلامه 2 (2).mp4,Good bye
archive/train\Good bye\مع السلامه 2.mp4,Good bye
archive/train\Good bye\مع السلامه 3.mp4,Good bye
archive/train\Good bye\مع السلامه.mp4,Good bye
archive/train\Good evening\Copy of good evening 1 (1).mp4,Good evening
archive/train\Good evening\Copy of good evening 1 (2).mp4,Good evening
archive/train\Good evening\Copy of good evening 1.mp4,Good evening
archive/train\Good evening\Copy of good evening 2 (1).mp4,Good evening
archive/train\Good evening\Copy of good evening 2 (2).mp4,Good evening
archive/train\Good evening\Copy of good evening 2.mp4,Good evening
archive/train\Good evening\Copy of مساء الخير (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (1) (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (1) (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (2) (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (2) (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (3).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1 (4).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 1.mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (1) (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (1) (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (2) (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (2) (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (3).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2 (4).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 2.mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 3 (1).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 3 (2).mp4,Good evening
archive/train\Good evening\Copy of مساء الخير 3.mp4,Good evening
archive/train\Good evening\Copy of مساء الخير.mp4,Good evening
archive/train\Good evening\good evening 1.mp4,Good evening
archive/train\Good evening\good evening 2.mp4,Good evening
archive/train\Good evening\مساء الخير 1 (1).mp4,Good evening
archive/train\Good evening\مساء الخير 1 (2).mp4,Good evening
archive/train\Good evening\مساء الخير 1.mp4,Good evening
archive/train\Good evening\مساء الخير 2 (1).mp4,Good evening
archive/train\Good evening\مساء الخير 2 (2).mp4,Good evening
archive/train\Good evening\مساء الخير 2.mp4,Good evening
archive/train\Good evening\مساء الخير 3.mp4,Good evening
archive/train\Good evening\مساء الخير.mp4,Good evening
archive/train\Good morning\Copy of good morning 1 (1).mp4,Good morning
archive/train\Good morning\Copy of good morning 1.mp4,Good morning
archive/train\Good morning\Copy of good morning 2 (1).mp4,Good morning
archive/train\Good morning\Copy of good morning 2.mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_33_Pro (1).mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_33_Pro.mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_41_Pro (1).mp4,Good morning
archive/train\Good morning\Copy of WIN_20240518_17_36_41_Pro.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (1) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (2) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (2).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1 (3).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 1.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (1) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (2) (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (2).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2 (3).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 2.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 3 (1).mp4,Good morning
archive/train\Good morning\Copy of صباح الخير 3.mp4,Good morning
archive/train\Good morning\Copy of صباح الخير.mp4,Good morning
archive/train\Good morning\good morning 1.mp4,Good morning
archive/train\Good morning\good morning 2.mp4,Good morning
archive/train\Good morning\WIN_20240518_17_36_33_Pro.mp4,Good morning
archive/train\Good morning\WIN_20240518_17_36_41_Pro.mp4,Good morning
archive/train\Good morning\صباح الخير (1).mp4,Good morning
archive/train\Good morning\صباح الخير 1 (1).mp4,Good morning
archive/train\Good morning\صباح الخير 1 (2).mp4,Good morning
archive/train\Good morning\صباح الخير 1 (3).mp4,Good morning
archive/train\Good morning\صباح الخير 1.mp4,Good morning
archive/train\Good morning\صباح الخير 2 (1).mp4,Good morning
archive/train\Good morning\صباح الخير 2 (2).mp4,Good morning
archive/train\Good morning\صباح الخير 2 (3).mp4,Good morning
archive/train\Good morning\صباح الخير 2.mp4,Good morning
archive/train\Good morning\صباح الخير 3 (1).mp4,Good morning
archive/train\Good morning\صباح الخير 3.mp4,Good morning
archive/train\Good morning\صباح الخير.mp4,Good morning
archive/train\How are you\Copy of Copy of how are you 1 (1).mp4,How are you
archive/train\How are you\Copy of Copy of how are you 1.mp4,How are you
archive/train\How are you\Copy of how are you 1 (1).mp4,How are you
archive/train\How are you\Copy of how are you 1 (2).mp4,How are you
archive/train\How are you\Copy of how are you 1.mp4,How are you
archive/train\How are you\Copy of how are you 2 (1).mp4,How are you
archive/train\How are you\Copy of how are you 2 (2).mp4,How are you
archive/train\How are you\Copy of how are you 2.mp4,How are you
archive/train\How are you\Copy of كيف حالك (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (1) (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (1) (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (2) (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (2) (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (3).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1 (4).mp4,How are you
archive/train\How are you\Copy of كيف حالك 1.mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1) (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1) (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1) (3).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2 (3).mp4,How are you
archive/train\How are you\Copy of كيف حالك 2.mp4,How are you
archive/train\How are you\Copy of كيف حالك 3 (1).mp4,How are you
archive/train\How are you\Copy of كيف حالك 3 (2).mp4,How are you
archive/train\How are you\Copy of كيف حالك 3.mp4,How are you
archive/train\How are you\Copy of كيف حالك.mp4,How are you
archive/train\How are you\how are you 1.mp4,How are you
archive/train\How are you\how are you 2.mp4,How are you
archive/train\How are you\كيف حالك (1).mp4,How are you
archive/train\How are you\كيف حالك 1 (1).mp4,How are you
archive/train\How are you\كيف حالك 1 (2).mp4,How are you
archive/train\How are you\كيف حالك 1.mp4,How are you
archive/train\How are you\كيف حالك 2 (1).mp4,How are you
archive/train\How are you\كيف حالك 2.mp4,How are you
archive/train\How are you\كيف حالك 3.mp4,How are you
archive/train\How are you\كيف حالك.mp4,How are you
archive/train\I am fine\Copy of انا بخير (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (1) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (1) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (2) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (2) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (3).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1 (4).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 1.mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (1) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (2) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (2) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (3).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2 (4).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 2.mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (1) (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (1) (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3 (3).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 3.mp4,I am fine
archive/train\I am fine\Copy of انا بخير 4 (1).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 4 (2).mp4,I am fine
archive/train\I am fine\Copy of انا بخير 4.mp4,I am fine
archive/train\I am fine\Copy of انا بخير.mp4,I am fine
archive/train\I am fine\انا بخير 1 (1).mp4,I am fine
archive/train\I am fine\انا بخير 1 (2).mp4,I am fine
archive/train\I am fine\انا بخير 1.mp4,I am fine
archive/train\I am fine\انا بخير 2 (1).mp4,I am fine
archive/train\I am fine\انا بخير 2 (2).mp4,I am fine
archive/train\I am fine\انا بخير 2.mp4,I am fine
archive/train\I am fine\انا بخير 3 (1).mp4,I am fine
archive/train\I am fine\انا بخير 3.mp4,I am fine
